Time [s],LRCK_out,DATA_out
0.006426440,1,0
0.006427100,0,0
0.006427240,0,1
0.006428220,0,0
0.006429040,0,1
0.006429200,0,0
0.006429700,1,0
0.006429860,1,1
0.006430840,1,0
0.006431640,1,1
0.006431820,1,0
0.006432300,0,0
0.006433280,0,1
0.006433440,0,0
0.006433760,0,1
0.006433920,0,0
0.006434240,0,1
0.006434420,0,0
0.006434580,0,1
0.006434900,1,0
0.006435880,1,1
0.006436040,1,0
0.006436360,1,1
0.006436540,1,0
0.006436860,1,1
0.006437020,1,0
0.006437180,1,1
0.006437520,0,1
0.006437660,0,0
0.006438480,0,1
0.006438800,0,0
0.006439140,0,1
0.006439300,0,0
0.006439460,0,1
0.006439620,0,0
0.006440120,1,0
0.006441080,1,1
0.006441420,1,0
0.006441740,1,1
0.006441900,1,0
0.006442220,1,1
0.006442720,0,1
0.006444020,0,0
0.006444180,0,1
0.006444340,0,0
0.006444500,0,1
0.006444660,0,0
0.006444820,0,1
0.006445320,1,1
0.006446620,1,0
0.006446780,1,1
0.006446940,1,0
0.006447100,1,1
0.006447280,1,0
0.006447440,1,1
0.006447920,0,1
0.006448900,0,0
0.006449220,0,1
0.006449380,0,0
0.006450520,0,1
0.006450540,1,1
0.006451500,1,0
0.006451820,1,1
0.006452000,1,0
0.006452960,1,1
0.006453140,0,0
0.006453300,0,1
0.006454280,0,0
0.006454440,0,1
0.006454760,0,0
0.006454920,0,1
0.006455240,0,0
0.006455580,0,1
0.006455740,1,0
0.006455900,1,1
0.006456880,1,0
0.006457040,1,1
0.006457360,1,0
0.006457520,1,1
0.006457860,1,0
0.006458180,1,1
0.006458340,0,0
0.006459320,0,1
0.006459480,0,0
0.006459640,0,1
0.006460140,0,0
0.006460460,0,1
0.006460940,1,0
0.006461920,1,1
0.006462080,1,0
0.006462240,1,1
0.006462740,1,0
0.006463060,1,1
0.006463380,1,0
0.006463540,1,1
0.006463560,0,1
0.006463720,0,0
0.006464520,0,1
0.006464680,0,0
0.006464840,0,1
0.006465020,0,0
0.006465180,0,1
0.006465340,0,0
0.006465660,0,1
0.006466160,1,1
0.006466320,1,0
0.006467120,1,1
0.006467300,1,0
0.006467460,1,1
0.006467620,1,0
0.006467780,1,1
0.006467940,1,0
0.006468260,1,1
0.006468760,0,1
0.006469900,0,0
0.006470220,0,1
0.006470880,0,0
0.006471200,0,1
0.006471360,1,0
0.006471520,1,1
0.006472500,1,0
0.006472820,1,1
0.006473480,1,0
0.006473800,1,1
0.006473960,1,0
0.006473980,0,0
0.006474120,0,1
0.006474940,0,0
0.006475260,0,1
0.006475440,0,0
0.006475920,0,1
0.006476400,0,0
