Time [s],LRCK_out,DATA_out,DATA_in
0.017599050,0,0,1
0.017599150,0,1,1
0.017599160,1,1,1
0.017599330,1,0,1
0.017599410,1,0,0
0.017600110,1,0,1
0.017600830,1,0,0
0.017601180,1,0,1
0.017601990,0,0,1
0.017602950,0,0,0
0.017604010,0,0,1
0.017604820,1,0,1
0.017605080,1,0,0
0.017607650,1,1,0
0.017607660,0,1,0
0.017607830,0,0,0
0.017608260,0,0,1
0.017608620,0,0,0
0.017610390,0,0,1
0.017610490,1,0,1
0.017610750,1,0,0
0.017611450,1,0,1
0.017612170,1,0,0
0.017612520,1,0,1
0.017613320,1,1,1
0.017613330,0,1,1
0.017613500,0,0,1
0.017614290,0,0,0
0.017615000,0,0,1
0.017615350,0,0,0
0.017616160,1,0,0
0.017618990,1,1,0
0.017619000,0,1,0
0.017619960,0,1,1
0.017620670,0,1,0
0.017621730,0,1,1
0.017621830,1,1,1
0.017622010,1,0,1
0.017622090,1,0,0
0.017622440,1,0,1
0.017623150,1,0,0
0.017623850,1,0,1
0.017624670,0,0,1
0.017624840,0,1,1
0.017624920,0,1,0
0.017625980,0,1,1
0.017627400,0,1,0
0.017627500,1,1,0
0.017627670,1,0,0
0.017630340,0,0,0
0.017631290,0,0,1
0.017632010,0,0,0
0.017633060,0,0,1
0.017633170,1,0,1
0.017633420,1,0,0
0.017633770,1,0,1
0.017634490,1,0,0
0.017635190,1,0,1
0.017636010,0,0,1
0.017636170,0,1,1
0.017636260,0,1,0
0.017637320,0,1,1
0.017638840,1,1,1
0.017639010,1,0,1
0.017639090,1,0,0
0.017641680,0,0,0
0.017642630,0,0,1
0.017642990,0,0,0
0.017644510,1,0,0
0.017644760,1,0,1
0.017645120,1,0,0
0.017645820,1,0,1
0.017646180,1,0,0
0.017646530,1,0,1
0.017647240,1,0,0
0.017647340,0,1,0
0.017648300,0,1,1
0.017648660,0,1,0
0.017649010,0,1,1
0.017649370,0,1,0
0.017649720,0,1,1
0.017650080,0,1,0
0.017650180,1,1,0
0.017650350,1,0,0
0.017653010,0,0,0
0.017653970,0,0,1
0.017654330,0,0,0
0.017655840,1,0,0
0.017656090,1,0,1
0.017656450,1,0,0
0.017657160,1,0,1
0.017657520,1,0,0
0.017657870,1,0,1
0.017658580,1,0,0
0.017658670,1,1,0
0.017658680,0,1,0
0.017658850,0,0,0
0.017659640,0,0,1
0.017660000,0,0,0
0.017660350,0,0,1
0.017660700,0,0,0
0.017661060,0,0,1
0.017661510,1,0,1
0.017661770,1,0,0
0.017664350,0,0,0
0.017666020,0,0,1
0.017667180,1,0,1
0.017667440,1,0,0
0.017668500,1,0,1
0.017669560,1,0,0
0.017670020,0,0,0
0.017670190,0,1,0
0.017670980,0,1,1
0.017671330,0,1,0
0.017671680,0,1,1
0.017672040,0,1,0
0.017672850,1,1,0
0.017673030,1,0,0
0.017675690,0,0,0
0.017677350,0,0,1
0.017678520,1,0,1
0.017678690,1,1,1
0.017678770,1,1,0
0.017679830,1,1,1
0.017680900,1,1,0
0.017681360,0,1,0
0.017681530,0,0,0
0.017682310,0,0,1
0.017682670,0,0,0
0.017683020,0,0,1
0.017683380,0,0,0
0.017684190,1,0,0
0.017684360,1,1,0
0.017687030,0,1,0
0.017687200,0,0,0
0.017687270,0,0,1
0.017689400,0,0,0
0.017689750,0,0,1
0.017689860,1,0,1
0.017690110,1,0,0
0.017690460,1,0,1
0.017690820,1,0,0
0.017691170,1,0,1
0.017691530,1,0,0
0.017692230,1,0,1
0.017692700,0,0,1
0.017693660,0,0,0
0.017695070,0,0,1
0.017695530,1,0,1
0.017695780,1,0,0
0.017698360,0,0,0
0.017698610,0,0,1
0.017700740,0,0,0
0.017701090,0,0,1
0.017701200,1,0,1
0.017701450,1,0,0
0.017701800,1,0,1
0.017702160,1,0,0
0.017702510,1,0,1
0.017702870,1,0,0
0.017703570,1,0,1
0.017704030,0,0,1
